Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
Windsor,Town,2019-20,3272756,2009878,0,0,2009878,10630,0,10630,0,0,2296,0,2296,19446,0,-14528,4918,5300478,27338,973838,40529,-40529,1001176,239113,0,239113,-681744,-44014,-31495,-757253,5783514,64204,26733,29655,0,56388,120592,0,0,45057,45057,2120,0,0,0,0,0,0,359238,0,0,361358,19179,31232,55578,0,130365,60738,68279,365371,430404,3998,29979,0,0,0,464381,505203,5202,17127,72602,600134,0,1602446,0,9342853,32724,7581,77724,3303,4339,125671,587739,66641,43145,0,697525,0,14101,0,111450,702409,1651156,973111,0,263350,263350,0,0,58193,112575,1407229,505643,621620,0,0,0,95085,0,492916,0,1715264,511856,351704,0,0,0,117747,0,510159,0,1491466,120436,0,0,0,0,120436,80923,100787,0,0,1021,53401,236132,868104,25695,23779,0,0,0,76788,16095,1010461,0,0,0,0,1027535,55873,250018,1333426,0,0,0,0,8965570
Wolfville,Town,2019-20,6005858,1195953,0,0,1195953,10198,0,10198,0,0,1168,0,1168,20204,0,0,20204,7233381,505919,434837,0,0,940756,427936,0,427936,-763704,-81976,-50786,-896466,7705607,20558,960955,0,0,960955,981513,0,0,0,0,1750,286300,0,8500,0,0,3455,61627,0,0,361632,29753,49389,18756,0,147476,74511,31355,351240,69869,4285,44328,0,0,0,118482,316900,5637,139452,152011,614000,0,760563,0,10893037,38721,3968,130134,14559,22085,209467,1008425,104172,76732,0,1189329,0,0,15375,119370,68750,1602291,1448163,0,380808,380808,4852,0,201604,149928,2185355,166149,1008906,0,0,168317,130746,0,778642,0,2252760,331676,564392,0,0,0,14044,0,224943,0,1135055,0,0,0,0,0,0,531029,239374,251,0,118836,71819,961309,910994,30606,24320,0,7951,0,37219,0,1011090,0,0,0,0,768354,22269,145094,935717,0,0,0,0,10083577
Yarmouth,Town,2019-20,4703452,5597825,0,0,5597825,10189,0,10189,0,0,0,0,0,49890,0,0,49890,10361356,535230,1422091,0,0,1957321,171364,0,171364,-1312878,-86394,-194319,-1593591,10896450,175707,822555,46763,0,869318,1045025,0,0,663317,663317,840,10884,41397,72623,603614,0,0,0,57820,0,787178,31426,65636,768917,509918,91682,119341,206244,1793164,727970,15080,67456,0,236,0,810742,1159630,137436,89975,0,1387041,358582,2517001,0,20258500,54447,14964,156853,22431,64359,313054,1110221,231148,86145,0,1427514,4260,0,0,64291,210647,2019766,2601114,434197,1769948,2204145,0,0,229543,184633,5219435,911802,1018491,0,0,157893,55806,0,1020392,0,3164384,1090877,1210562,0,0,0,0,0,745112,43045,3089596,0,0,0,0,0,0,235950,441197,0,0,239440,770931,1687518,846581,39037,44478,0,0,0,640269,83363,1653728,449453,-182761,0,266692,1916034,0,344170,2260204,0,0,0,0,19361323
Annapolis,Rural Municipality,2019-20,11089256,966706,16942,56221,1039869,514537,10280,524817,5941,12332,137642,102,156017,86114,0,0,86114,12896073,1575331,1295695,296534,-296534,2871026,1155069,0,1155069,-3720000,-254765,-116083,-4090848,12831320,105688,239640,12573,1249,253462,359150,0,0,0,0,0,4161,179982,0,33000,0,0,0,0,181071,398214,62189,24422,222794,0,59088,130858,168900,668251,811257,406845,53799,0,0,0,1271901,1710159,4046,81410,10498,1806113,0,1196252,0,18531201,66014,11709,344578,33851,96929,553081,789577,184328,416437,0,1390342,4699,20736,0,100601,1570925,3640384,2369788,358057,5118,363175,10772,0,34040,1038486,3816261,313394,792982,0,0,575239,22550,0,317412,121835,2143412,1003347,2350700,0,0,0,233,0,506087,250000,4110367,0,0,0,0,0,0,386593,31041,0,3827,13954,0,435415,927994,0,120718,0,745,0,206096,459410,1714963,-1,0,0,-1,806120,41586,328313,1176019,0,0,0,0,17036820
Antigonish,Rural Municipality,2019-20,8950526,1201777,0,40003,1241780,655617,3491,659108,0,255721,114878,0,370599,66029,0,0,66029,11288042,1383921,0,0,0,1383921,514730,0,514730,-3551460,-205604,-56898,-3813962,9372731,4383,180795,0,0,180795,185178,0,0,0,0,0,0,0,0,878823,0,425161,97966,0,0,1401950,6600,46306,539527,0,114077,76115,204029,986654,0,7748,27705,0,9787,0,45240,1306172,6962,138182,0,1451316,0,999735,0,14442804,49008,8641,234838,42666,0,335153,1157452,177041,322104,0,1656597,-42761,17848,134521,44064,602339,2747761,1445867,456685,739963,1196648,0,0,689,60074,2703278,0,345140,0,0,0,7234,0,175141,0,527515,749784,1576803,0,0,0,63885,0,540038,0,2930510,112000,0,0,0,0,112000,0,287387,0,0,0,0,287387,1216114,73197,131053,0,21093,0,30635,0,1472092,71229,0,0,71229,961280,30876,182988,1175144,0,0,0,0,12026916
Argyle,Rural Municipality,2019-20,4723002,1120145,12459,121,1132725,391746,10829,402575,12387,33432,7183,2176,55178,36310,186658,0,222968,6536448,37742,215574,396351,-396973,252694,153069,30363,183432,-1598416,-104833,-30846,-1734095,5238479,10735,131811,8346,0,140157,150892,0,0,84837,84837,0,0,0,0,0,0,0,0,54982,0,54982,11132,7987,6000,0,322247,88621,1327016,1763003,154923,16939,18313,0,0,0,190175,537715,116533,58427,3500,716175,0,0,0,8198543,33943,2230,176735,34616,0,247524,738312,138784,198522,105703,1181321,13987,0,5268,8007,279291,1735398,898162,0,406985,406985,0,0,14583,401966,1721696,0,47816,198650,0,0,0,0,28706,286731,561903,234573,692698,0,0,0,5858,0,376868,561389,1871386,84156,0,0,0,38235,122391,117553,49092,0,0,261012,515030,942687,418159,160066,54013,0,0,0,33366,47265,712869,0,0,0,0,0,0,0,0,0,0,0,0,7668330
Barrington,Rural Municipality,2019-20,3749548,1483747,0,0,1483747,250727,3508,254235,0,0,4513,0,4513,33472,29097,0,62569,5554612,619126,341680,0,0,960806,229839,10100,239939,-1331464,-89189,-28931,-1449584,5305773,47635,96894,0,2419,99313,146948,0,0,145641,145641,122808,0,0,0,0,0,0,182876,0,0,305684,46203,0,107793,0,113776,148409,122273,538454,151335,0,16691,0,26634,0,194660,681821,80916,154158,0,916895,0,0,0,7554055,30329,70,97094,3803,0,131296,1001883,80114,139061,0,1221058,297,0,5781,61305,221299,1641036,953636,0,672732,672732,18258,0,243446,159705,2047777,0,351986,0,0,0,0,0,10805,0,362791,293808,740201,0,229494,229494,0,0,174145,0,1437648,150543,0,0,10725,0,161268,5423,122888,4877,0,87219,212172,432579,708427,27139,44470,0,5048,0,264627,2,1049713,0,0,0,0,0,0,0,0,0,0,0,0,7132812
Chester,Rural Municipality,2019-20,10438707,1442219,0,8923,1451142,308957,26605,335562,4360,0,6994,0,11354,49043,676464,0,725507,12962272,3493736,0,1690321,-1698786,3485271,1136516,0,1136516,-4958834,-235600,-20000,-5214434,12369625,55240,92943,2761,12596,108300,163540,0,0,3183524,3183524,0,33358,0,0,0,0,0,88010,698867,0,820235,59165,29869,38012,0,532971,176220,639868,1476105,0,22087,83335,0,95430,0,200852,1206329,49110,29735,7000,1292174,0,0,0,19506055,48113,6823,135339,37158,46605,274038,2821078,287641,352585,46307,3507611,5948,1660,0,-20371,0,3768886,1841096,0,376427,376427,0,0,11552,403940,2633015,0,980919,0,0,0,3789,0,239757,0,1224465,608738,2861158,1011540,0,1011540,166299,0,1742240,0,6389975,0,0,0,0,0,0,503645,204888,78586,0,344782,198890,1330791,765047,0,68715,0,368,0,108985,0,943115,0,0,0,0,0,0,0,0,0,0,0,0,16290247
Clare,Rural Municipality,2019-20,4903475,1416680,0,8462,1425142,456467,24980,481447,0,0,0,0,0,29901,0,0,29901,6839965,22732,174659,642241,-336251,503381,111082,0,111082,-1785321,-119885,-38841,-1944047,5510381,23694,115107,6781,0,121888,145582,0,0,308461,308461,0,0,0,0,0,0,0,177180,0,26009,203189,26844,28525,302484,0,118700,112796,389919,979268,223087,5123,13488,0,0,0,241698,582171,85279,169582,0,837032,0,0,0,8225611,35448,4248,158780,14318,0,212794,642688,127325,255932,0,1025945,0,0,0,63943,690094,1992776,1125686,0,297276,297276,54088,0,1138,237240,1715428,0,89347,0,0,25000,0,0,0,0,114347,212157,632674,35234,579631,614865,0,0,291875,35320,1786891,498662,17581,0,104146,0,620389,9208,45621,0,0,0,171276,226105,591687,61960,53377,33768,0,0,55161,116541,912494,0,0,0,0,0,0,0,0,0,0,0,0,7368430
Colchester,Rural Municipality,2019-20,18670020,6315184,0,76931,6392115,578696,83627,662323,0,447917,251819,0,699736,136846,0,0,136846,26561040,4315954,365936,5103652,-5021032,4764510,1223592,167182,1390774,-7742136,-466079,-118079,-8326294,24390030,147504,615735,1619,0,617354,764858,0,0,1372961,1372961,0,0,0,0,3285851,0,0,0,0,0,3285851,72442,0,152436,0,26243,537520,3579287,4367928,294415,20572,112540,0,502690,0,930217,1336969,0,182062,332493,1851524,0,806761,0,37770130,62952,0,442169,0,50877,555998,2225989,677631,683968,0,3587588,0,0,0,274589,1664750,6082925,4975428,28672,543570,572242,10481,61518,74768,726067,6420504,0,1454985,425091,0,0,0,0,1120586,0,3000662,3426463,3712169,117432,3056508,3173940,84781,0,3657791,0,14055144,0,54783,0,0,0,54783,171516,2121651,59470,0,49564,0,2402201,1690591,84695,235574,0,367700,0,1103783,2013113,5495456,0,0,0,0,632572,0,372931,1005503,0,0,0,0,38517178
Cumberland,Rural Municipality,2019-20,15194982,3337102,0,94758,3431860,504503,99557,604060,0,6473,306980,3844,317297,102456,276648,11621,390725,19938924,1501483,1300367,204454,-204455,2801849,1065876,0,1065876,-4746995,-321444,-279852,-5348291,18458358,2198751,216072,13075,0,229147,2427898,0,0,44824,44824,0,0,0,0,1273551,17887716,0,0,0,0,19161267,48219,42779,168371,85032,232351,490179,122678,1189609,1548105,21419,125851,0,0,0,1695375,2357344,151733,1859337,20400,4388814,0,1426635,0,48792780,40361,5906,288319,29196,119561,483343,1864678,371041,559375,25412,2820506,262538,742,87604,156914,1235089,5046736,4369334,97126,1474417,1571543,8075,0,636298,813525,7398775,1357618,951065,0,0,0,5275,0,401365,0,2715323,1091394,2291095,30083,900066,930149,245909,0,1156416,111665,5826628,0,437930,0,674428,17394827,18507185,279604,769656,0,0,12410,0,1061670,1180330,323683,139240,0,0,0,437275,130431,2210959,0,0,0,0,1090561,54542,365905,1511008,0,0,0,0,44278284
Digby,Rural Municipality,2019-20,4810201,776944,59683,33612,870239,338030,22868,360898,1942,2071,17340,6632,27985,38689,198413,0,237102,6306425,93398,174848,480686,-472361,276571,234503,14,234517,-1471900,-105189,-28732,-1605821,5211692,25960,123928,0,0,123928,149888,0,0,87949,87949,475,58400,0,96175,0,0,0,0,0,0,155050,11306,37619,0,0,164466,116978,397565,727934,333616,665927,18611,0,9262,0,1027416,0,0,133932,0,133932,0,0,0,7493861,38038,9207,104960,19676,22702,194583,479841,90518,194662,17786,782807,15886,0,0,29505,582848,1605629,1303372,34772,452281,487053,0,0,13400,514081,2317906,108111,68968,122961,0,318269,0,0,133581,72270,824160,212012,1017956,0,0,0,16567,0,241997,0,1488532,0,0,0,0,0,0,25849,65227,11764,0,110945,189236,403021,547377,30287,48653,0,0,0,14580,76705,717602,0,0,0,0,0,0,0,0,0,0,0,0,7356850
East Hants,Rural Municipality,2019-20,13632550,3712253,36156,23411,3771820,441616,44792,486408,0,0,116024,0,116024,109476,80582,0,190058,18196860,6636546,1043622,0,0,7680168,1544918,1539,1546457,-5296776,-290053,-62197,-5649026,21774459,46681,133526,18159,0,151685,198366,0,0,0,0,370686,0,0,0,480795,0,20150,176903,0,0,1048534,108690,47181,297930,0,699638,143414,585726,1882579,0,2796,64684,0,98274,0,165754,2164878,3822379,278787,0,6266044,0,2166656,0,33502392,46449,5750,243316,20147,60731,376393,3648440,814516,399437,226489,5088882,15271,252251,24431,298713,339130,6395071,3685189,0,2816968,2816968,31169,393,28931,420919,6983569,0,997019,0,0,0,187876,4172,1053065,0,2242132,1108431,1988413,154,492962,493116,101653,3208,801944,513474,5010239,0,0,0,0,0,0,650417,159210,82147,3677,168743,234321,1298515,604186,29816,141986,0,370230,11117,-69803,1083292,2170824,0,0,0,0,1356296,187051,465906,2009253,0,0,0,0,26109603
Guysborough,Rural Municipality,2019-20,1945015,3213710,0,260,3213970,273893,30282,304175,0,93453,13109,0,106562,39306,92174,0,131480,5701202,672758,77616,169348,-169348,750374,124078,0,124078,-1386826,-90877,-134902,-1612605,4963049,54399,205037,12095,14761,231893,286292,0,0,5305309,5305309,0,0,0,0,585999,6705329,0,123816,3229704,0,10644848,11659,11261,52138,0,53324,115404,769217,1013003,84678,130624,108059,0,0,0,323361,0,37758,231681,0,269439,0,373211,596776,23775288,40564,5141,159692,12922,16648,234967,1022898,71041,176974,58633,1329546,92240,3249,0,109509,1202606,2972117,1271516,0,744013,744013,0,0,14536,175045,2205110,0,366033,0,0,0,0,0,164742,0,530775,196826,2573033,551698,0,551698,0,0,1577271,0,4898828,6227683,60702,0,48964,0,6337349,2125464,0,244157,0,985005,0,3354626,0,19670,35341,0,0,0,626974,1029466,1711451,0,0,0,0,320995,0,89231,410226,654235,0,187709,841944,23262426
Inverness,Rural Municipality,2019-20,8716824,1870951,0,0,1870951,1670207,41670,1711877,0,0,88210,0,88210,110888,39163,0,150051,12537913,954124,102944,1012331,-1011661,1057738,533906,-589348,-55442,-3268925,-210857,0,-3479782,10060427,107326,289640,0,17001,306641,413967,0,0,225749,225749,0,0,0,0,246706,15442018,0,53956,0,78270,15820950,769,14772,25796,0,79241,200612,597574,918764,378055,23582,36359,0,36348,38069,512413,0,250936,134619,906469,1292024,0,712398,0,29956692,59330,10347,197117,49760,18233,334787,790945,338841,412215,222067,1764068,140347,0,12014,51651,719719,3022586,2543032,0,206469,206469,0,0,0,41536,2791037,601169,551273,7557,0,160000,0,0,183588,0,1503587,1026866,2186937,0,0,0,30710,0,845545,24376,4114434,12978589,1221544,0,1369536,0,15569669,208387,100948,0,0,1850,1085008,1396193,345419,19632,98777,0,0,0,0,226169,689997,0,0,0,0,942547,24276,276786,1243609,0,0,0,0,30331112
Kings,Rural Municipality,2019-20,26372100,8496700,0,21150,8517850,1188900,49350,1238250,10600,0,311200,0,321800,189500,0,0,189500,36639500,121900,4218368,3997200,-3997200,4340268,0,0,0,-11914200,-635500,-241200,-12790900,28188868,2707800,207300,0,0,207300,2915100,0,0,3542600,3542600,0,0,372500,0,2100500,318700,7700,96100,0,13300,2908800,167700,80600,7800,0,906700,298000,1519500,2980300,0,665200,90800,0,0,0,756000,1563000,280006,31479533,480100,33802640,0,1113800,0,76208108,58800,5000,333800,44900,102300,544800,3715681,763100,830300,48427,5357508,17700,14000,-4300,357600,715000,7002308,7214000,0,2616700,2616700,0,0,13800,1027600,10872100,0,793900,197300,0,1559400,1700,0,844400,845100,4241800,2946600,8117900,0,51800,51800,95200,315000,1836011,320189,13682700,31109690,31300,0,584810,0,31725800,660000,1324900,0,0,17200,28600,2030700,122200,0,305300,0,0,0,73600,906400,1407500,-572700,0,0,-572700,487821,3400,150179,641400,0,0,0,0,71031608
Lunenburg,Rural Municipality,2019-20,19999146,2559547,-31563,505,2528489,1011376,61090,1072466,0,0,51077,35940,87017,86125,26528,0,112653,23799771,378511,596433,3390879,-3390879,974944,1504328,0,1504328,-8143605,-433536,-51535,-8628676,17650367,42848,154561,0,8987,163548,206396,0,0,49026,49026,0,0,0,19013,0,0,0,69651,0,3,88667,68517,84459,167858,0,729164,312047,3057102,4419147,0,4340,42948,0,0,0,47288,2352655,567778,820972,250768,3992173,0,0,0,26453064,58546,11880,301982,31635,27035,431078,1282560,170240,698022,49169,2199991,3234,0,2800,251141,1206015,4094259,3318568,58171,269322,327493,0,0,30996,561754,4238811,375795,2118032,0,0,0,0,0,187900,0,2681727,514850,2163729,0,557958,557958,13144,0,433928,312461,3996070,0,0,0,0,0,0,485295,0,142173,0,65623,656174,1349265,1477487,0,159715,0,0,0,716170,751829,3105201,0,0,0,0,0,0,0,0,0,0,0,0,19465333
Pictou,Rural Municipality,2019-20,10825910,3254338,74034,42718,3371090,713406,69891,783297,6211,2722,158462,151,167546,82345,692461,114530,889336,16037179,2676931,924098,0,0,3601029,652555,0,652555,-5001732,-308043,-109539,-5419314,14871449,11095,188304,55328,0,243632,254727,0,0,3436,3436,0,0,0,0,0,0,0,0,198901,0,198901,38448,25446,0,0,174448,248475,472577,959394,270601,11053,46102,0,0,0,327756,2124896,6244,209835,0,2340975,0,417192,0,19373830,59256,11025,257299,63546,6490,397616,1194012,245549,502708,2613,1944882,-14697,0,0,123366,611810,3062977,3326165,715934,2335804,3051738,0,0,0,334764,6712667,0,430104,0,0,0,0,0,370144,0,800248,1217881,1371214,0,0,0,0,0,1368004,1047,3958146,0,0,0,0,652555,652555,94480,102901,0,0,218694,211794,627869,282612,36972,195112,0,0,0,0,430234,944930,0,0,0,0,358396,0,42152,400548,0,0,0,0,17159940
Richmond,Rural Municipality,2019-20,4979242,3028923,0,6416,3035339,973957,13341,987298,0,0,0,0,0,38598,161037,0,199635,9201514,558322,0,945574,-945574,558322,458224,-104071,354153,-2704096,-152252,-75149,-2931497,7182492,30226,111028,0,5295,116323,146549,0,0,0,0,0,0,0,0,0,8144895,0,199681,0,0,8344576,128000,0,0,0,180099,255397,480456,1043952,0,1759720,0,0,0,0,1759720,0,8092,2229998,0,2238090,0,639179,0,21354558,44471,2356,110818,7736,0,165381,1997944,1015523,276618,0,3290085,187909,1427,927,65578,35788,3747095,1392946,321000,73735,394735,8587,0,374,29047,1825689,0,531176,15000,0,0,8226,0,30383,0,584785,512370,348787,40000,647697,687697,42428,0,412160,231494,2234936,6841017,331754,0,565586,0,7738357,178428,461175,0,0,0,0,639603,681666,36207,62379,0,0,0,29139,0,809391,0,18979,0,18979,457859,0,107559,565418,0,0,0,0,18164253
Shelburne,Rural Municipality,2019-20,4065888,588884,0,733,589617,651173,12780,663953,0,0,2368,0,2368,27189,0,0,27189,5349015,0,67026,0,0,67026,265702,0,265702,-1228411,-77853,-11234,-1317498,4364245,6261,230843,10021,10203,251067,257328,0,0,383627,383627,0,115012,0,0,173136,0,17198,41690,25150,3960,376146,1080,5854,62067,0,175799,59090,129707,433597,75128,27884,12690,0,0,0,115702,491155,3237,0,0,494392,0,0,0,6425037,27437,6754,111642,13847,3609,163289,1199224,147771,143790,0,1490785,5000,0,4490,69926,2687,1736177,715228,46460,351516,397976,0,0,0,310369,1423573,0,189779,0,0,7602,0,0,1806,0,199187,137885,1118057,0,0,0,0,0,169023,0,1424965,0,0,0,0,6290,6290,0,168394,0,0,12199,0,180593,288214,0,29400,0,0,0,0,117609,435223,0,0,0,0,0,0,0,0,0,0,0,0,5406008
St. Mary's,Rural Municipality,2019-20,1247837,624930,0,28869,653799,209715,13875,223590,0,0,10471,0,10471,18997,0,0,18997,2154694,261001,79506,159222,-159272,340457,68007,0,68007,-561724,-42917,-12919,-617560,1945598,19689,140322,0,0,140322,160011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,4755,30869,0,37579,66089,35311,177525,175430,3289,10608,0,0,0,189327,286087,0,1285,0,287372,0,146366,0,2906199,20883,3738,82373,16502,5270,128766,310331,42705,92381,0,445417,15779,12611,0,70073,217789,890435,480909,0,60970,60970,0,0,0,31982,573861,0,161982,0,0,0,0,0,0,0,161982,132188,456350,0,0,0,0,0,28566,0,617104,0,0,0,0,0,0,28523,30427,0,0,0,15447,74397,209927,16088,16927,0,0,0,72791,7901,323634,0,0,0,0,109429,9183,28909,147521,0,0,0,0,2788934
Victoria,Rural Municipality,2019-20,6647034,1127982,0,0,1127982,1100338,13761,1114099,0,0,13496,0,13496,54598,0,0,54598,8957209,0,0,238217,-259978,-21761,219783,0,219783,-2326347,-134204,-38623,-2499174,6656057,249657,291175,0,15274,306449,556106,0,0,32900,32900,25998,0,0,0,624476,11001751,0,0,0,0,11652225,1100,35239,1005,0,94090,146364,2555,280353,0,1278075,27988,0,176104,0,1482167,130359,0,0,0,130359,0,755012,0,21545179,46611,6617,181679,30265,6643,271815,1151583,98527,223075,308468,1781653,0,0,6027,15391,600255,2675141,1589396,407284,532300,939584,0,0,0,229122,2758102,133515,265767,0,0,0,0,0,205096,0,604378,0,872798,0,1621040,1621040,0,0,43890,0,2537728,8692545,1071668,0,826162,0,10590375,0,116691,0,0,1343,25093,143127,294212,31669,68382,0,0,0,0,0,394263,0,0,0,0,551332,0,108491,659823,0,0,0,0,20362937
West Hants,Rural Municipality,2019-20,11097975,1520071,0,14050,1534121,397961,22838,420799,5653,0,85151,0,90804,65006,0,0,65006,13208705,0,1043387,0,0,1043387,987199,11405,998604,-3519672,-203722,-68192,-3791586,11459110,69372,58672,0,0,58672,128044,0,71998,435955,507953,0,0,0,0,0,0,0,26160,169694,0,195854,42505,21671,3600,0,136900,269772,340850,815298,132305,200127,46335,0,5133,575,384475,916718,3553436,600469,45000,5115623,0,2114414,0,20720771,46335,1579,207696,4443,259844,519897,1034206,65089,286455,0,1385750,0,0,0,1098032,513944,3517623,2417092,155095,1115538,1270633,154739,0,0,400280,4242744,205457,463785,0,0,0,4535,0,163854,0,837631,559969,1050354,0,148078,148078,21880,0,0,0,1780281,0,0,0,0,0,0,623959,48891,0,0,406747,83474,1163071,450262,41287,113248,0,18961,0,30426,454295,1108479,0,74289,0,74289,1501408,42556,344453,1888417,0,0,0,0,14612535
Yarmouth,Rural Municipality,2019-20,7645475,783185,0,0,783185,458797,16558,475355,0,0,20923,0,20923,41936,13397,0,55333,8980271,740682,275041,318443,-318443,1015723,236105,0,236105,-2170881,-137815,-12297,-2320993,7911106,9918,23569,0,0,23569,33487,0,0,296042,296042,0,0,0,0,0,0,0,113142,53214,121957,288313,25067,19698,391745,897544,484870,152412,43052,2014388,129875,177415,22972,74149,0,0,404411,0,204525,0,0,204525,0,0,0,11152272,42353,6136,155337,13247,0,217073,989276,89462,212183,28148,1319069,0,105430,0,147573,247287,2036432,1019856,839713,0,839713,0,0,0,-376321,1483248,338581,179479,280850,0,0,6494,0,526196,676795,2008395,168598,884198,0,0,0,1006,0,293239,519092,1866133,138009,0,0,0,-19118,118891,79598,490951,0,0,307278,367522,1245349,756257,147,65394,0,0,0,302604,708207,1832609,7593,0,0,7593,0,0,0,0,0,0,0,0,10598650
CBRM,Regional Municipality,2018-19,71283730,30654728,0,0,30654728,1435341,0,1435341,0,0,0,0,0,510182,211483,0,721665,104095464,733583,736534,97044,-97044,1470117,2441600,0,2441600,-14179424,-1083287,-1868648,-17131359,90875822,3952079,2098666,156223,255010,2509899,6461978,0,345177,0,345177,2369965,0,1085971,0,2098647,0,0,2037442,0,26825,7618850,560855,315445,526311,342985,222789,1290278,316939,3575602,15335838,2800261,629491,0,0,0,18765590,6817618,3092676,3812127,464250,14186671,0,19469034,0,161298724,121428,22750,523318,121354,595898,1384748,6916010,138469,1380720,0,8435199,650000,410124,198946,628638,5055568,16763223,26673442,0,11525264,11525264,123284,29728,1811664,500374,40663756,965500,22297782,0,0,3566905,646607,-177313,7298705,2567397,37165583,2426000,10981255,0,13998845,13998845,117794,40334,2940728,598197,31103153,0,0,0,0,0,0,1172177,0,0,0,309890,0,1482067,9271908,331238,659902,,98312,20340,2628184,0,13009884,0,0,0,0,10233670,1485245,3586866,15305781,0,0,0,0,155493447
